"","x"
"1",0
"2",-0.00141563142761025
"3",-0.0237873343574532
"4",-0.0237288164766311
"5",-0.0363300683504804
"6",-0.0399706653682737
"7",-0.022913614640367
"8",-0.0260277521352373
"9",-0.0319328680579485
"10",-0.0418190553895557
"11",-0.0231597911644261
"12",-0.0293169224997513
"13",-0.0551596832266092
"14",-0.0611055973370342
"15",-0.0671712747402733
"16",-0.0525833821128316
"17",-0.0640580571639251
"18",-0.0615247359788048
"19",-0.0639022645178822
"20",-0.0562413276911489
"21",-0.0559229920132846
"22",-0.0763611762286544
"23",-0.0626628994854365
"24",-0.0571449431575258
"25",-0.0563454765258978
"26",-0.0502176297183752
"27",-0.056112768825876
"28",-0.052798892773476
"29",-0.0571318442076527
"30",-0.0485003490006938
"31",-0.0395327208045577
"32",-0.0462721808868016
"33",-0.0493786480477686
"34",-0.047593290993741
"35",-0.0450873906780288
"36",-0.0595517904852803
"37",-0.0633493783589315
"38",-0.0632648627361711
"39",-0.0742227876375238
"40",-0.0795078076308168
"41",-0.0694827477078838
"42",-0.060980234062518
"43",-0.0533184943207034
"44",-0.036140244101216
"45",-0.050949107340327
"46",-0.0615178723820464
"47",-0.0770695586036847
"48",-0.0972327437911966
"49",-0.0913436575733724
"50",-0.1002912222417
"51",-0.104496440864547
"52",-0.109594201046895
"53",-0.133338509611506
"54",-0.147980939666405
"55",-0.14589293977007
"56",-0.15088900343202
"57",-0.15011145105478
"58",-0.133620623829206
"59",-0.120927569702253
"60",-0.121375219642964
"61",-0.142892174080642
"62",-0.143667184008783
"63",-0.131947393712478
"64",-0.131970347158669
"65",-0.131732555716951
"66",-0.11741240745018
"67",-0.131534869766495
"68",-0.134459256232506
"69",-0.126445083636812
"70",-0.104761004357759
"71",-0.110807407266801
"72",-0.104823418290704
"73",-0.105618414426414
"74",-0.0963015286367658
"75",-0.0902034527364415
"76",-0.095792864544401
"77",-0.0928929753536348
"78",-0.0872504685579079
"79",-0.0822424705597042
"80",-0.0919148935186865
"81",-0.0944930184365149
"82",-0.0719111621785992
"83",-0.0703179147563789
"84",-0.0709456002187309
"85",-0.0740353894581043
"86",-0.0856870606166486
"87",-0.0796983840226118
"88",-0.0803703384951426
"89",-0.0925935407402984
"90",-0.0968565038883852
"91",-0.100941873313559
"92",-0.10111752591217
"93",-0.105274367409896
"94",-0.0927092097390884
"95",-0.0968615966953601
"96",-0.0906971759364827
"97",-0.0814704859245115
"98",-0.0613702304922717
"99",-0.0505747339912711
"100",-0.0378866914708745
"101",-0.0536850477689549
"102",-0.0479301574018897
"103",-0.0413792886908828
"104",-0.0406718195271
"105",-0.0563011963523447
"106",-0.0288899694960336
"107",-0.0318343137290489
"108",-0.0262430242046354
"109",-0.0175034407058497
"110",-0.0142256402297069
"111",-0.0139761835197121
"112",-0.0197099400690514
"113",-0.0275104243568934
"114",-0.0226536976410754
"115",-0.039272756692526
"116",-0.0212515600074045
"117",-0.0434837971734863
"118",-0.0528378620872643
"119",-0.0700209791704506
"120",-0.0717548790933029
"121",-0.0645624696503689
"122",-0.065684205975197
"123",-0.0631694386840907
"124",-0.0559469405137813
"125",-0.0379681755027141
"126",-0.0202916425835563
"127",-0.023993816557955
"128",-0.0132675595744666
"129",-0.0142179990072548
"130",-0.00211165940300526
"131",-0.00450528902715394
"132",-0.0110663603562109
"133",0.00160390162318076
"134",0.00672226783202652
"135",0.0235651027719305
"136",0.0207711307663968
"137",0.0392895729340167
"138",0.035255585061983
"139",0.0402829471861338
"140",0.037800149809448
"141",0.0450446299794658
"142",0.0407594293926899
"143",0.0222408449171544
"144",0.0364536153832226
"145",0.0617575521123448
"146",0.0722155271379291
"147",0.0564577194219813
"148",0.0680925124384991
"149",0.0689918595178608
"150",0.0664480652086669
"151",0.06211502837197
"152",0.0518469188546063
"153",0.0426134395044494
"154",0.0405513776571946
"155",0.0409913262654708
"156",0.0397647918225032
"157",0.0541176360649183
"158",0.06531030342816
"159",0.0601413959517451
"160",0.0619987661886724
"161",0.0754656842693918
"162",0.0713398584323101
"163",0.0585259105642504
"164",0.0607023622905689
"165",0.0580692229526388
"166",0.0518160152998404
"167",0.0449482208876643
"168",0.0424703137677339
"169",0.0480452097091396
"170",0.0610130989098743
"171",0.0517430537621531
"172",0.068474551193643
"173",0.0773675888124538
"174",0.0708454148251391
"175",0.0842997324935508
"176",0.094577154730056
"177",0.0999359823045352
"178",0.109986836427661
"179",0.100599146121157
"180",0.0836638062627221
"181",0.0696402592514037
"182",0.0866929830334543
"183",0.080753784562572
"184",0.0707873586538967
"185",0.062467228580631
"186",0.0816739896432556
"187",0.0816880334624186
"188",0.10986672842403
"189",0.100210038711727
"190",0.103443737235915
"191",0.103848491648592
"192",0.106049779179376
"193",0.105382389217792
"194",0.107237998070341
"195",0.096468210897219
"196",0.0952576151966668
"197",0.0841232627346772
"198",0.0789767660494571
"199",0.0910689623572214
"200",0.0888311391043628
"201",0.100725354833167
"202",0.101445159387138
"203",0.0931302975545948
"204",0.0953338929836116
"205",0.0973093868744077
"206",0.0976848632797846
"207",0.100827306727706
"208",0.0990610992870588
"209",0.104594513192388
"210",0.117877935979594
"211",0.110105444327646
"212",0.112106582506375
"213",0.11450666553228
"214",0.111768497555146
"215",0.103249500888028
"216",0.106054870014053
"217",0.100135294881788
"218",0.103952778539121
"219",0.0979299124634693
"220",0.109535870446301
"221",0.117700518525942
"222",0.136347509170007
"223",0.125007688688578
"224",0.127446757890008
"225",0.122717604039984
"226",0.124364607350038
"227",0.136966830595602
"228",0.112606575937959
"229",0.100348328734939
"230",0.0959706083543443
"231",0.101041704595322
"232",0.081775298906433
"233",0.0699310053173365
"234",0.0973314486330957
"235",0.075952355628476
"236",0.064758978622888
"237",0.0797435778622286
"238",0.0781493946484407
"239",0.091058718820263
"240",0.0900508893535758
"241",0.095854890595277
"242",0.101192732740897
"243",0.0973707784601015
"244",0.10079439319126
"245",0.106590910932939
"246",0.112127722910317
"247",0.11652661637188
"248",0.0951873757678325
"249",0.0895872887587448
"250",0.086791960216478
"251",0.0745680319028637
"252",0.054740976190194
"253",0.0411083484216273
"254",0.0364358437073022
"255",0.023791073641558
"256",0.0366962429149748
"257",0.0313049761677409
"258",0.0141677414796646
"259",0.0134379541545881
"260",0.00338224711540455
"261",-0.00850169631883258
"262",0.00799565368004186
"263",0.000573298845924676
"264",0.00295800257225451
"265",0.0196874851356546
"266",0.025772300082603
"267",0.0167121201071688
"268",0.0151369428152767
"269",0.00949594519339135
"270",0.0195771586616481
"271",0.0294726994922159
"272",0.0252839802433749
"273",0.0113058794843522
"274",0.00688961679750196
"275",0.00924475838636692
"276",-0.00729185204415197
"277",-0.00461495593867565
"278",-0.0270518402859367
"279",-0.0371083109444579
"280",-0.0301362884552963
"281",-0.0334893333219027
"282",-0.0169640489325138
