,betas
1,0.504966865
2,0.504948543
3,0.504948543
4,0.504948543
5,0.504948543
6,0.504948543
7,0.504948543
8,0.504948543
9,0.504948543
10,0.504948543
11,0.504948543
12,0.504948543
13,0.504948543
14,0.504948543
15,0.504948543
16,0.504948543
17,0.504948543
18,0.504948543
19,0.504948543
20,0.504948543
21,0.504948543
22,0.504948543
23,0.504948543
24,0.504948543
25,0.504948543
26,0.504948543
27,0.504948543
28,0.504948543
29,0.504948543
30,0.504948543
31,0.50494886
32,0.50494886
33,0.50494886
34,0.50494886
35,0.50494886
36,0.50494886
37,0.504934084
38,0.504934084
39,0.504934084
40,0.504934084
41,0.504934084
42,0.504934084
43,0.504934084
44,0.504934084
45,0.504934084
46,0.504934084
47,0.504934084
48,0.504934084
49,0.504934084
50,0.504934084
51,0.504934084
52,0.504934084
53,0.504934084
54,0.504934084
55,0.504934084
56,0.504934084
57,0.504934084
58,0.504934084
59,0.504934084
60,0.504934084
61,0.504934084
62,0.504934084
63,0.504934084
64,0.504934084
65,0.504934084
66,0.504934084
67,0.504934084
68,0.504934084
69,0.504934084
70,0.504934084
71,0.504934084
72,0.504934084
73,0.504934084
74,0.504934084
75,0.504934084
76,0.504934084
77,0.504934084
78,0.504934084
79,0.504934084
80,0.504934084
81,0.504934084
82,0.504934084
83,0.504934084
84,0.504934084
85,0.504934084
86,0.504935614
87,0.504935614
88,0.504935614
89,0.504935614
90,0.504935614
91,0.504935614
92,0.504935614
93,0.504935614
94,0.504935614
95,0.504935614
96,0.504935614
97,0.504935614
98,0.504935614
99,0.504935614
100,0.504935614
101,0.504935614
102,0.504935614
103,0.504935614
104,0.504935614
105,0.504935614
106,0.504935614
107,0.504935614
108,0.504935614
109,0.504935614
110,0.504935614
111,0.504935614
112,0.504935614
113,0.504935614
114,0.504935614
115,0.504935614
116,0.504935614
117,0.504935614
118,0.504935614
119,0.504935614
120,0.504935614
121,0.504935614
122,0.504935614
123,0.504935614
124,0.504935614
125,0.504935614
126,0.504935614
127,0.504935614
128,0.504935614
129,0.504935614
130,0.504935614
131,0.504935614
132,0.504935614
133,0.504935614
134,0.504935614
135,0.504935614
136,0.504935614
137,0.504935614
138,0.504935614
139,0.504935614
140,0.504935614
141,0.504935614
142,0.504935614
143,0.504935614
144,0.504935614
145,0.504935614
146,0.504935614
147,0.504935614
148,0.504935614
149,0.504935614
150,0.504935614
151,0.504935614
152,0.504935614
153,0.504927737
154,0.504927737
155,0.504927737
156,0.504927737
157,0.504927737
158,0.504927737
159,0.504927737
160,0.504927737
161,0.504927737
162,0.504927737
163,0.504927737
164,0.504927737
165,0.504927737
166,0.504927737
167,0.504927737
168,0.504927737
169,0.504927737
170,0.504922995
171,0.504922995
172,0.504922995
173,0.504922995
174,0.504922995
175,0.504922995
176,0.504922995
177,0.504922995
178,0.504922995
179,0.504922995
180,0.504922995
181,0.504922995
182,0.504922995
183,0.504922995
184,0.504922995
185,0.504922995
186,0.504922995
187,0.504922995
188,0.504922995
189,0.504922995
190,0.504922995
191,0.504922995
192,0.504922995
193,0.504922995
194,0.504922995
195,0.504922995
196,0.504922995
197,0.504922995
198,0.504922995
199,0.504922995
200,0.504922995
201,0.504922995
202,0.504922995
203,0.504922995
204,0.504922995
205,0.504922995
206,0.504922995
207,0.504922995
208,0.504922995
209,0.504918002
210,0.504918002
211,0.504918002
212,0.504918002
213,0.504918002
214,0.504918002
215,0.504918002
216,0.504918002
217,0.504918002
218,0.504918002
219,0.504918002
220,0.504918002
221,0.504918002
222,0.504918002
223,0.504918002
224,0.504918002
225,0.504918002
226,0.504918002
227,0.504918002
228,0.504918002
229,0.504918002
230,0.504918002
231,0.504918002
232,0.504918002
233,0.504918002
234,0.504918002
235,0.504918002
236,0.504918002
237,0.504918002
238,0.504918002
239,0.504918002
240,0.504918002
241,0.504918002
242,0.504918002
243,0.504918002
244,0.504918002
245,0.504918002
246,0.504918002
247,0.504918002
248,0.504918002
249,0.504918002
250,0.504918002
251,0.504918002
252,0.504918002
253,0.504918002
254,0.504918002
255,0.504918002
256,0.504918002
257,0.504918002
258,0.504918002
259,0.504918002
260,0.504918002
261,0.504918002
262,0.504918002
263,0.504918002
264,0.504918002
265,0.504918002
266,0.504918002
267,0.504918002
268,0.504918002
269,0.504918002
270,0.504918002
271,0.504918002
272,0.504918002
273,0.504918002
274,0.504918002
275,0.504918002
276,0.504918002
277,0.504918002
278,0.504918002
279,0.504918002
280,0.504918002
281,0.504918002
282,0.504918002
283,0.504918002
284,0.504918002
285,0.504918002
286,0.504918002
287,0.504918002
288,0.504918002
289,0.504918002
290,0.504918002
291,0.504918002
292,0.504918002
293,0.504918002
294,0.504893349
295,0.504893349
296,0.504893349
297,0.504893349
298,0.504893349
299,0.504893349
300,0.504886586
301,0.504886586
302,0.504886586
303,0.504886586
304,0.504886586
305,0.504886586
306,0.504886586
307,0.504886586
308,0.504886586
309,0.504886586
310,0.504886586
311,0.504886586
312,0.504886586
313,0.504886586
314,0.504886586
315,0.504886586
316,0.504886586
317,0.504886586
318,0.504886586
319,0.504886586
320,0.504886586
321,0.504886586
322,0.504886586
323,0.504886586
324,0.504886586
325,0.504886586
326,0.504886586
327,0.504886586
328,0.504886586
329,0.504886586
330,0.504886586
331,0.504781705
332,0.504781705
333,0.504781705
334,0.504781705
335,0.504780092
336,0.504780092
337,0.504780092
338,0.504780092
339,0.504780092
340,0.504780092
341,0.504780092
342,0.504780092
343,0.504780092
344,0.504780092
345,0.504780092
346,0.504780092
347,0.504780092
348,0.504780092
349,0.504780092
350,0.504780092
351,0.504780092
352,0.504780092
353,0.504780092
354,0.504780092
355,0.504780092
356,0.504780092
357,0.504780092
