,betas
1,0.105798639
2,0.09769315
3,0.102347342
4,0.105024454
5,0.105148852
6,0.108260854
7,0.103165218
8,0.105480099
9,0.102235478
10,0.098239623
11,0.101186595
12,0.098393235
13,0.096568581
14,0.099013025
15,0.103242739
16,0.102033347
17,0.104757391
18,0.103779007
19,0.098471059
20,0.103664091
21,0.106448795
22,0.102786561
23,0.096538374
24,0.097595672
25,0.103799748
26,0.105373044
27,0.1035888
28,0.101132826
29,0.095642901
30,0.099562408
31,0.096046855
32,0.098976275
33,0.097683537
34,0.097698124
35,0.102204699
36,0.097345005
37,0.098857796
38,0.097901771
39,0.099010281
40,0.101358931
41,0.100412979
42,0.103730581
43,0.103039258
44,0.103310389
45,0.105159876
46,0.107552296
47,0.109109799
48,0.107829334
49,0.105419205
50,0.100606704
51,0.094538011
52,0.096058228
53,0.098534202
54,0.103484164
55,0.107033663
56,0.109281582
57,0.107332113
58,0.10862471
59,0.109663871
60,0.111429414
61,0.110158237
62,0.110267258
63,0.10353467
64,0.096327891
65,0.093554164
66,0.101927326
67,0.104777775
68,0.104277546
69,0.099741802
70,0.104414141
71,0.09905512
72,0.099989625
73,0.099315956
74,0.098422303
75,0.104335704
76,0.107892366
77,0.107023548
78,0.104951668
79,0.106692071
80,0.104729578
81,0.104081909
82,0.103133131
83,0.099166534
84,0.101015272
85,0.099742654
86,0.105010573
87,0.105415858
88,0.100209238
89,0.101581043
90,0.101857835
91,0.105493723
92,0.099394018
93,0.101422902
94,0.105882143
95,0.103493833
96,0.101352403
97,0.098000478
98,0.095934519
99,0.095077061
100,0.09703003
101,0.096525949
102,0.094763379
103,0.100099932
104,0.105263254
105,0.107681611
106,0.110073559
107,0.105292836
108,0.105490447
109,0.106978689
110,0.107286703
111,0.100638711
112,0.101869369
113,0.105634178
114,0.104043554
115,0.10365849
116,0.101378099
117,0.103699459
118,0.096776317
119,0.103796492
120,0.106710318
121,0.104479219
122,0.095078142
123,0.095736963
124,0.102728441
125,0.103510555
126,0.097057898
127,0.093872349
128,0.093496287
129,0.095104633
130,0.095689894
131,0.097695317
132,0.093328555
133,0.091454231
134,0.097560522
135,0.097329559
136,0.097508046
137,0.093539879
138,0.098055148
139,0.100828092
140,0.094600707
141,0.100179128
142,0.101136858
143,0.102470384
144,0.096932233
145,0.103170852
146,0.099393572
147,0.101350613
148,0.101425179
149,0.094731387
150,0.093105976
151,0.0938913
152,0.093465434
153,0.103355324
154,0.106201502
155,0.106078957
156,0.105088807
157,0.097187596
158,0.101124834
159,0.102500995
160,0.106535057
161,0.103939767
162,0.10632935
163,0.104725755
164,0.107009118
165,0.106391213
166,0.106010603
167,0.105518211
168,0.100723925
169,0.101044834
170,0.10560248
171,0.101789646
172,0.099537451
173,0.10513114
174,0.102686331
175,0.101966937
176,0.102996163
177,0.105049656
178,0.106356041
179,0.1021682
180,0.097913082
181,0.093991081
182,0.098802953
183,0.095369222
184,0.095204462
185,0.095290041
186,0.098910895
187,0.097026352
188,0.099245096
189,0.097217766
190,0.099169616
191,0.097608639
192,0.099271229
193,0.098409391
194,0.096512539
195,0.093671314
196,0.091848575
197,0.089734947
198,0.091867028
199,0.09369462
200,0.096016455
201,0.098705629
202,0.100129708
203,0.104414157
204,0.104034858
205,0.099007771
206,0.09717306
207,0.104387781
208,0.108141069
209,0.103207479
210,0.0986336
211,0.100645334
212,0.09733133
213,0.100905004
214,0.104212439
215,0.107444118
216,0.106934041
217,0.102651173
218,0.10044176
219,0.096459587
220,0.103058714
221,0.10702783
222,0.105837387
223,0.107309912
224,0.109992067
225,0.108620581
226,0.110842566
227,0.113051766
228,0.110796764
229,0.105819149
230,0.106270585
231,0.108345409
232,0.106988727
233,0.101516635
234,0.102478534
235,0.10345932
236,0.099248137
237,0.096424286
238,0.092754757
239,0.095301247
240,0.093594735
241,0.09889786
242,0.096008632
243,0.096866321
244,0.093017753
245,0.103688511
246,0.101130061
247,0.102230091
248,0.100196744
249,0.101276429
250,0.099316801
251,0.100173234
252,0.100315701
253,0.096178047
254,0.103848155
255,0.103108474
256,0.098192664
257,0.096607047
258,0.096182685
259,0.099336977
260,0.103322969
261,0.105957215
262,0.107702292
263,0.103791352
264,0.103868805
265,0.103055494
266,0.103194775
267,0.102669499
268,0.098322358
269,0.099884125
270,0.101469808
271,0.105664421
272,0.10718887
273,0.107818047
274,0.101608096
275,0.102640741
276,0.10383491
277,0.096159625
278,0.102702988
279,0.098819931
280,0.104618349
281,0.107535608
282,0.101776228
283,0.10181943
284,0.098348495
285,0.093914764
286,0.097577426
287,0.1007445
288,0.097770969
289,0.104571384
290,0.102474757
291,0.104888448
292,0.102518546
293,0.103646777
294,0.106537541
295,0.108597348
296,0.110254869
297,0.108512511
298,0.11070757
299,0.109789928
300,0.095176851
301,0.097571136
302,0.093253905
303,0.090946132
304,0.093995134
305,0.092683729
306,0.102364284
307,0.103498591
308,0.104039571
309,0.106233552
310,0.101717195
311,0.105382489
312,0.106703484
313,0.108608423
314,0.107633133
315,0.103194502
316,0.106063382
317,0.102449657
318,0.104388959
319,0.105619507
320,0.09657052
321,0.096237639
322,0.095621335
323,0.103431633
324,0.102613963
325,0.106241605
326,0.104974613
327,0.104573589
328,0.105677826
329,0.108912818
330,0.111257706
331,0.108742863
332,0.096964119
333,0.094154432
334,0.097916234
335,0.095362275
336,0.096350951
337,0.094781024
338,0.101124756
339,0.097092724
340,0.103854857
341,0.106114133
342,0.106941694
343,0.101431453
344,0.101752907
345,0.09768998
346,0.098010628
347,0.099775652
348,0.098166245
349,0.10222295
350,0.106576693
351,0.102854351
352,0.099181809
353,0.099101502
354,0.101410444
355,0.101775309
356,0.105316611
357,0.102762282
358,0.105562922
359,0.108811589
360,0.110558124
361,0.108480177
362,0.102618041
363,0.098089239
364,0.0939508
365,0.098207959
366,0.102518917
367,0.106321871
368,0.102231084
369,0.099049527
370,0.094038681
371,0.099143362
372,0.095112003
373,0.098783601
374,0.094990376
375,0.100258385
376,0.105488885
377,0.104879538
378,0.102481025
379,0.101248145
380,0.095516217
381,0.096132195
382,0.100441006
383,0.099320993
384,0.099857945
385,0.098242617
386,0.104617411
387,0.107836771
388,0.098856599
389,0.095554692
390,0.102186031
391,0.105054788
392,0.106244276
393,0.096549196
394,0.092882577
395,0.096876874
396,0.094895967
397,0.10330754
398,0.10205598
399,0.099137418
400,0.09611041
401,0.093473958
