,betas
1,0.802429113
2,0.802429113
3,0.802429113
4,0.802429113
5,0.802429113
6,0.802429113
7,0.802426657
8,0.802426657
9,0.802426657
10,0.802426657
11,0.802426657
12,0.802426657
13,0.802426657
14,0.802426657
15,0.802426657
16,0.802426657
17,0.802426657
18,0.802426657
19,0.802426657
20,0.802426657
21,0.802426657
22,0.802426657
23,0.802426657
24,0.802426657
25,0.802426657
26,0.802426657
27,0.802426657
28,0.802426657
29,0.802426657
30,0.802426657
31,0.802426657
32,0.802426657
33,0.802426657
34,0.802426657
35,0.802426657
36,0.802426657
37,0.802323436
38,0.802323436
39,0.802323436
40,0.802323436
41,0.802323436
42,0.802323436
43,0.802323436
44,0.802323436
45,0.802323436
46,0.802323436
47,0.802323436
48,0.802323436
49,0.802323436
50,0.802323436
51,0.802323436
52,0.802323436
53,0.802323436
54,0.802323436
55,0.802323436
56,0.802323436
57,0.802323436
58,0.802323436
59,0.802323436
60,0.802323436
61,0.802323436
62,0.802323436
63,0.802323436
64,0.802323436
65,0.802323436
66,0.802323436
67,0.802323436
68,0.802323436
69,0.802323436
70,0.802323436
71,0.802323436
72,0.802323436
73,0.802323436
74,0.802323436
75,0.802323436
76,0.802323436
77,0.802323436
78,0.802323436
79,0.802323436
80,0.802323436
81,0.802306366
82,0.802306366
83,0.802306366
84,0.802306366
85,0.802306366
86,0.802306366
87,0.802306366
88,0.802306366
89,0.802306366
90,0.802306366
91,0.802306366
92,0.802306366
93,0.802306366
94,0.802306366
95,0.802306366
96,0.802306366
97,0.802306366
98,0.802306366
99,0.802306366
100,0.802306366
101,0.802306141
102,0.802306141
103,0.802306141
104,0.802306141
105,0.802306141
106,0.802306141
107,0.802306141
108,0.802306141
109,0.802306141
110,0.802306141
111,0.802306141
112,0.802306141
113,0.802306141
114,0.802306141
115,0.802306141
116,0.802306141
117,0.802306141
118,0.802306141
119,0.802306141
120,0.802306141
121,0.802306141
122,0.802306141
123,0.802306141
124,0.802306141
125,0.802306141
126,0.802306141
127,0.802306141
128,0.802306141
129,0.802306141
130,0.802306141
131,0.802306141
132,0.802306141
133,0.802306141
134,0.802306141
135,0.802306141
136,0.802306141
137,0.802306141
138,0.802306141
139,0.802306141
140,0.802306141
141,0.802306141
142,0.802306141
143,0.802306141
144,0.802306141
145,0.802306141
146,0.802306141
147,0.802306141
148,0.802306141
149,0.802306141
150,0.802306141
151,0.802306141
152,0.802306141
153,0.802306141
154,0.802306141
155,0.802306141
156,0.802306141
157,0.802306141
158,0.802306141
159,0.802306141
160,0.802306141
161,0.802306141
162,0.802306141
163,0.802306141
164,0.802306141
165,0.802306141
166,0.802306141
167,0.802306141
168,0.802306141
169,0.802306141
170,0.802306141
171,0.802306141
172,0.802306141
173,0.802306141
174,0.802306141
175,0.802306141
176,0.802306141
177,0.802306141
178,0.802306141
179,0.802306141
180,0.802306141
181,0.802306141
182,0.802306141
183,0.802306141
184,0.802306141
185,0.802306141
186,0.802306141
187,0.802306141
188,0.802306141
189,0.802306141
190,0.802306141
191,0.802306141
192,0.802306141
193,0.802306141
194,0.802306141
195,0.802306141
196,0.802306141
197,0.802306141
198,0.802306141
199,0.802306141
200,0.802306141
201,0.802306141
202,0.802306141
203,0.802306141
204,0.802306141
205,0.802306141
206,0.802306141
207,0.802228296
208,0.802228296
209,0.802228296
210,0.802228296
211,0.802228296
212,0.802228296
213,0.802228296
214,0.802228296
215,0.802228296
216,0.802195567
217,0.802195567
218,0.802195567
219,0.802195567
220,0.802195567
221,0.802195567
222,0.802195567
223,0.802195567
224,0.802195567
225,0.802195567
226,0.802195567
227,0.802195567
228,0.802195567
229,0.802195567
230,0.802189066
231,0.802189066
232,0.802189066
233,0.802189066
234,0.802189066
235,0.802189066
236,0.802189066
237,0.802189066
238,0.802189066
239,0.802189066
240,0.802189066
241,0.802189066
242,0.802189066
243,0.802189066
244,0.802189066
245,0.802189066
246,0.802189066
247,0.802189066
248,0.802189066
249,0.80218716
250,0.80218716
251,0.80218716
252,0.80218716
253,0.80218716
254,0.80218716
255,0.80218716
256,0.80218716
257,0.80218716
258,0.80218716
259,0.80218716
260,0.80218716
261,0.80218716
262,0.80218716
263,0.80218716
264,0.80218716
265,0.80218716
266,0.80218716
267,0.80218716
268,0.80218716
269,0.802180881
270,0.802180881
271,0.802180881
272,0.802180881
273,0.802180881
274,0.802180881
275,0.802180881
276,0.802180881
277,0.802180881
278,0.802180881
279,0.802180881
280,0.802180881
281,0.802180881
282,0.802179028
283,0.802179028
284,0.802179028
285,0.802179028
286,0.802179028
287,0.802179028
288,0.802179028
289,0.802179028
290,0.802179028
291,0.802179028
292,0.802179028
293,0.802179028
294,0.802179028
295,0.802179028
296,0.802179028
297,0.802179028
298,0.802179028
299,0.802179028
300,0.802179028
301,0.802179028
302,0.802179028
303,0.802179028
304,0.802179028
305,0.802179028
306,0.802179028
307,0.802179028
308,0.802179028
309,0.802179028
310,0.802179028
311,0.802179028
312,0.802179028
313,0.802179028
314,0.802179028
315,0.802179028
316,0.802179028
317,0.802179028
318,0.802179028
319,0.802179028
320,0.802179028
321,0.802179028
322,0.802179028
323,0.802179028
324,0.802179028
325,0.802179028
326,0.802179028
327,0.802179028
328,0.802179028
329,0.802179028
330,0.802179028
331,0.802179028
332,0.802179028
333,0.802179028
334,0.802179028
335,0.802179028
336,0.802179028
337,0.802179028
338,0.802179028
339,0.802179028
340,0.802179028
341,0.802179028
342,0.802179028
343,0.802179028
344,0.802179028
345,0.802179028
346,0.802179028
347,0.802179028
348,0.802179028
349,0.802179028
350,0.802179028
351,0.802179028
352,0.802142364
353,0.802142364
354,0.802142364
355,0.802142364
356,0.802142364
357,0.802142364
358,0.802142364
359,0.802142364
360,0.802142364
361,0.802142364
362,0.802142364
363,0.802142364
