"","x"
"1",0
"2",0.0887295777512838
"3",0.00434800601277129
"4",-0.0873399899100998
"5",-0.0526918494739097
"6",-0.126123054081076
"7",-0.231036190604824
"8",-0.148575369140285
"9",-0.15195519253809
"10",-0.23321401680928
"11",-0.204671649917317
"12",-0.175424470873127
"13",-0.206562918791021
"14",-0.146100154788302
"15",-0.290920255612951
"16",-0.305259206451624
"17",-0.301886392550398
"18",-0.382030797235288
"19",-0.295473103371389
"20",-0.381018250712953
"21",-0.435847344242432
"22",-0.440765947070816
"23",-0.423616868936425
"24",-0.52565013365093
"25",-0.479377841960386
"26",-0.595585160867543
"27",-0.634708178659406
"28",-0.746380236599456
"29",-0.874342612826725
"30",-0.798862511178731
"31",-0.877824357252071
"32",-0.755974571458613
"33",-0.667252863544137
"34",-0.642178363675986
"35",-0.602289147789353
"36",-0.587599889227273
"37",-0.594546680862998
"38",-0.666034613074551
"39",-0.715992266698209
"40",-0.691691700320693
"41",-0.723637496200515
"42",-0.702772529990309
"43",-0.692940744363009
"44",-0.805195820738734
"45",-0.749454753273021
"46",-0.822540145594614
"47",-0.826701673282023
"48",-1.04506536272936
"49",-1.18333166619356
"50",-1.05188397020258
"51",-1.15631187816436
"52",-1.14032465455644
"53",-1.18530916419672
"54",-1.0736880897589
"55",-1.00851223266465
"56",-1.03914279224837
"57",-1.08674456149127
"58",-1.05626925774476
"59",-1.12902261329814
"60",-1.0070671522371
"61",-1.11256655001112
"62",-1.12908957812916
"63",-1.07048751339329
"64",-0.976468074221985
"65",-0.882957801148189
"66",-0.831829607302141
"67",-0.934267199182857
"68",-0.989988799874253
"69",-1.01017902956184
"70",-1.05469932013263
"71",-1.07189993327809
"72",-1.00133746653164
"73",-0.814410100322034
"74",-0.751079576478283
"75",-0.707262724653397
"76",-0.553887450335652
"77",-0.518471944962967
"78",-0.54269343738621
"79",-0.607960653065959
"80",-0.670208008170892
"81",-0.724344442699571
"82",-0.627911961129147
"83",-0.622208513233695
"84",-0.533123356935844
"85",-0.424210717684567
"86",-0.38190645766307
"87",-0.545023304518285
"88",-0.554609430495707
"89",-0.582182534998344
"90",-0.508009918000886
"91",-0.466210075541687
"92",-0.437789662864564
"93",-0.56157418484652
"94",-0.672477932550053
"95",-0.633497370397395
"96",-0.731601625636093
"97",-0.745736392101223
"98",-0.746523293261935
"99",-0.751104452605132
"100",-0.650508547535266
"101",-0.605777335645944
"102",-0.65080092942092
"103",-0.681856092126002
"104",-0.750232793277141
"105",-0.776816244613101
"106",-0.693996944670574
"107",-0.811129945700408
"108",-0.685264761679737
"109",-0.848484309201824
"110",-0.810657263935692
"111",-0.853142283756628
"112",-0.815905790180329
"113",-0.753133361560748
"114",-0.649235522842079
"115",-0.70563670301286
"116",-0.718708830657262
"117",-0.756246886380106
"118",-0.843938364342449
"119",-0.947738309017613
"120",-0.88235327606282
"121",-0.79216002811099
"122",-0.88455803887029
"123",-0.901833333406202
"124",-0.91464235530009
"125",-0.800320625444466
"126",-0.782652033838744
"127",-0.774837565502094
"128",-0.750475483938128
"129",-0.717056403073718
"130",-0.722297351346315
"131",-0.714840341368765
"132",-0.65673341177673
"133",-0.682373051229457
"134",-0.668687195849581
"135",-0.698766719537569
"136",-0.688952070392516
"137",-0.65341515542215
"138",-0.502959978081087
"139",-0.556935757158685
"140",-0.539129502235934
"141",-0.367334445972373
"142",-0.41668507011833
"143",-0.477814894229767
"144",-0.461216541161182
"145",-0.46192169528244
"146",-0.453585342589637
"147",-0.480434814617937
"148",-0.513512040218358
"149",-0.438432034395464
"150",-0.485387208408685
"151",-0.502955537460995
"152",-0.758108869579271
"153",-0.944767339828786
"154",-0.900428958024023
"155",-0.779588855898151
"156",-0.742044757189098
"157",-0.758883370590781
"158",-0.6301215537479
"159",-0.581549955440706
"160",-0.389322149298173
"161",-0.31365760610106
"162",-0.254737479310488
"163",-0.123379200613814
"164",-0.148321765168737
"165",-0.193038508194235
"166",-0.150086363704654
"167",-0.159870484466028
"168",-0.272609522630304
"169",-0.128764139381821
"170",-0.180725312045425
"171",-0.224908575672426
"172",-0.258705857320451
"173",-0.244349599052659
"174",-0.194076124690001
"175",-0.208773990944401
"176",-0.166791082861993
"177",-0.0689513075624184
"178",-0.0243241879272141
"179",-0.200230132982629
"180",-0.228644494534526
"181",-0.259674024484255
"182",-0.213368329664381
"183",-0.212563796151913
"184",-0.256588342192853
"185",-0.239257543715328
"186",-0.318356091307804
"187",-0.284917337165458
"188",-0.376618871356828
"189",-0.403494550616384
