"","x"
"1",0
"2",0.0247590220950812
"3",0.0690347390131084
"4",0.053966529872051
"5",0.0586703674129485
"6",0.0198005704959484
"7",0.0317283182914088
"8",0.0285719806247777
"9",0.0133411282891227
"10",-0.0348277405710966
"11",-0.0286183846518673
"12",-0.00592133226822835
"13",-0.0606797887064683
"14",-0.126280854468866
"15",-0.0953184225978176
"16",-0.112907428701641
"17",-0.118437776656634
"18",-0.118619856462385
"19",-0.0851761238059226
"20",-0.0849681162984208
"21",-0.0451905195608678
"22",-0.0589255148080743
"23",-0.0461643319248949
"24",-0.0237613618360676
"25",-0.0608486615588834
"26",-0.0418440167900647
"27",-0.0301191859365029
"28",-0.0667932297159705
"29",-0.0483752977413738
"30",-0.0724372482299862
"31",-0.125246000896341
"32",-0.119838612037502
"33",-0.152720383134123
"34",-0.187812583678337
"35",-0.198028953093941
"36",-0.230364350412738
"37",-0.26209138359478
"38",-0.278732017797673
"39",-0.289403058460177
"40",-0.294089950984645
"41",-0.224971202370281
"42",-0.243387638668046
"43",-0.285314278448614
"44",-0.356334827767591
"45",-0.327093857915421
"46",-0.342203084934006
"47",-0.367039628604984
"48",-0.350538118676957
"49",-0.30680011277336
"50",-0.329783452253383
"51",-0.294231403163404
"52",-0.307387430241122
"53",-0.271135773019765
"54",-0.304274327131419
"55",-0.360159825188302
"56",-0.318253362784886
"57",-0.277117745913264
"58",-0.256668130547782
"59",-0.28105679494814
"60",-0.286197509165366
"61",-0.294240666910044
"62",-0.332666524363744
"63",-0.356642102905854
"64",-0.368070262797469
"65",-0.379002084096552
"66",-0.456969815585344
"67",-0.40497003766067
"68",-0.405876005885411
"69",-0.369187166709585
"70",-0.371782912407124
"71",-0.422897660910478
"72",-0.426629346729601
"73",-0.45307458375529
"74",-0.49557807530654
"75",-0.506455462220838
"76",-0.504416312302507
"77",-0.507896605266842
"78",-0.502678579060125
"79",-0.516992880272769
"80",-0.467918308938265
"81",-0.488174960985149
"82",-0.540240854768052
"83",-0.558836511740461
"84",-0.519493548505475
"85",-0.537427550437334
"86",-0.530454898638238
"87",-0.582376146226178
"88",-0.598624481815078
"89",-0.618914117674404
"90",-0.595560097474646
"91",-0.640844915629419
"92",-0.610012344680492
"93",-0.585359910931979
"94",-0.548084102121497
"95",-0.527657171424534
"96",-0.550942238886323
"97",-0.522233951186108
"98",-0.571938519148218
"99",-0.557921476276812
"100",-0.531869139275948
"101",-0.58802335424613
"102",-0.550314471375015
"103",-0.589960128334393
"104",-0.561491161913265
"105",-0.53566357324847
"106",-0.563536462182859
"107",-0.61547964281283
"108",-0.552269877856898
"109",-0.532317553579597
"110",-0.551084257315491
"111",-0.587013942809555
"112",-0.572262406721178
"113",-0.58859692796119
"114",-0.595622875483789
"115",-0.562759451994026
"116",-0.525328904569961
"117",-0.512651584706228
"118",-0.521747431661432
"119",-0.485954779380816
"120",-0.426013007018846
"121",-0.458321074112031
"122",-0.43156060134137
"123",-0.408783727962068
"124",-0.440684701086758
"125",-0.422287837851717
"126",-0.411922654709038
"127",-0.395884818763535
"128",-0.373806489128068
"129",-0.411300495875639
"130",-0.351677519848151
"131",-0.341025266954544
"132",-0.386628957489114
"133",-0.434567218016517
"134",-0.481298329552793
"135",-0.493829705102773
"136",-0.478261694456216
"137",-0.443817527872501
"138",-0.470433874116509
"139",-0.456812906468161
"140",-0.447029784648277
"141",-0.436972275895806
"142",-0.421612971240928
"143",-0.390124370643874
"144",-0.398527720983272
"145",-0.345346959772893
"146",-0.334290547906366
"147",-0.315042761861332
"148",-0.289661240713086
"149",-0.361317064570017
"150",-0.333959232195547
"151",-0.313534858234979
"152",-0.271896056417226
"153",-0.299326690644304
"154",-0.328252975783556
"155",-0.321829917438609
"156",-0.331607937516167
"157",-0.334633293383574
"158",-0.369043587770264
"159",-0.341318445877546
"160",-0.348103743921309
"161",-0.405250741069609
"162",-0.42480153844051
"163",-0.453337289668128
"164",-0.462779062994834
"165",-0.457981334633495
"166",-0.472111020804447
"167",-0.495536244788129
"168",-0.54178166377082
"169",-0.564865523833135
"170",-0.540333848104707
"171",-0.531066605760657
"172",-0.496294244708253
"173",-0.506126067263301
"174",-0.485235568551672
"175",-0.549056238622362
"176",-0.54513404955612
"177",-0.538305203468633
"178",-0.526064622356954
"179",-0.45193559592575
"180",-0.434812952977757
"181",-0.359934709304791
"182",-0.284016913460743
"183",-0.266150711868898
"184",-0.262226381688723
"185",-0.237438412188162
"186",-0.19410588194639
"187",-0.209186588527909
"188",-0.200469567498147
"189",-0.118587770084542
"190",-0.153884857014225
"191",-0.111461368440427
"192",-0.15027257027115
"193",-0.135380699729411
"194",-0.15304650171419
"195",-0.172121795039886
"196",-0.190090329153478
"197",-0.188844048503223
"198",-0.148642073962844
"199",-0.113920316348707
"200",-0.0763481862572272
"201",-0.140115800870522
"202",-0.177497642605026
"203",-0.153809461502883
"204",-0.131312290100803
"205",-0.187028538091258
"206",-0.178698990416948
"207",-0.196857424687267
"208",-0.178806774426217
"209",-0.217454147848864
"210",-0.284712967835817
"211",-0.299832039254928
"212",-0.28716394875989
"213",-0.305848878028664
"214",-0.307116942654594
"215",-0.269789023900915
"216",-0.258404191769397
"217",-0.204927665027575
"218",-0.213893496202579
"219",-0.205021040640054
"220",-0.18143400492989
"221",-0.182439688120548
"222",-0.174029443972662
"223",-0.189816680600624
"224",-0.209888984858176
"225",-0.241379368247313
"226",-0.205458331011973
"227",-0.182388952979212
"228",-0.21275544719485
"229",-0.237621985574276
"230",-0.300863941092152
"231",-0.333365358432471
"232",-0.312949456058649
"233",-0.29491121486207
"234",-0.299499860661939
"235",-0.316790519195856
"236",-0.311798049561468
"237",-0.249213175754285
"238",-0.222995376698486
"239",-0.235656919536787
"240",-0.253525484825074
"241",-0.223053238065536
"242",-0.19193773173322
"243",-0.193438754062432
"244",-0.233651863363384
"245",-0.225318900322833
"246",-0.245947111253909
"247",-0.21282874068846
"248",-0.252250521580518
"249",-0.236049668821646
"250",-0.171045584618342
"251",-0.244517024146761
"252",-0.253157109216861
"253",-0.23804084459919
"254",-0.289735258996592
"255",-0.2834670151139
"256",-0.274686538102944
"257",-0.28223850252162
"258",-0.291999430860883
"259",-0.229167135393862
"260",-0.229009275261676
"261",-0.235002333812321
"262",-0.266384686012312
"263",-0.30497435300163
"264",-0.299148052207514
"265",-0.303667509519477
"266",-0.307321221409713
"267",-0.329427040078131
"268",-0.375713206412912
"269",-0.424222745484092
"270",-0.439438087656904
"271",-0.399747684491836
"272",-0.413703336124801
"273",-0.397245198081005
"274",-0.371983188575061
"275",-0.411465451591911
"276",-0.441507569006243
"277",-0.414018820266126
"278",-0.433875052322235
"279",-0.422906753219406
"280",-0.422381187610607
"281",-0.427844707120414
"282",-0.417635792511094
"283",-0.42243593400521
"284",-0.435671031555086
"285",-0.441227265767114
"286",-0.483364829399108
"287",-0.47509457764927
"288",-0.507004181480687
"289",-0.5095925945235
"290",-0.518898464043602
"291",-0.470554562018152
"292",-0.512852989388928
"293",-0.515391451808048
"294",-0.473115685788132
"295",-0.496982594689931
"296",-0.551954296939875
"297",-0.567576183588239
"298",-0.611681038109391
"299",-0.614868211056855
"300",-0.592198378851796
"301",-0.586844829284034
"302",-0.601689872728399
"303",-0.592943529636652
"304",-0.604769593777298
"305",-0.59960679631056
"306",-0.612708341774478
"307",-0.599828500963205
"308",-0.529741876651182
"309",-0.562680552229632
"310",-0.550632513975216
"311",-0.559659163843332
"312",-0.546817356839639
"313",-0.587103870733663
"314",-0.580010855086075
"315",-0.615310892645046
"316",-0.623619359131153
"317",-0.612858806238572
"318",-0.595857274206198
"319",-0.566011868357503
"320",-0.557322362044326
"321",-0.574122330270561
"322",-0.56234546040101
"323",-0.564051974843779
"324",-0.573882983282587
"325",-0.524555592719496
"326",-0.539837750779695
"327",-0.521087271991404
"328",-0.55284377414304
"329",-0.606606984396204
"330",-0.617110462153757
"331",-0.646455620537431
"332",-0.657486624002187
"333",-0.663999666208315
"334",-0.662239521454642
"335",-0.692456758724453
"336",-0.676566751563706
"337",-0.676225457511704
"338",-0.674161453812326
"339",-0.628733110120652
"340",-0.633681053234727
"341",-0.667914533947044
"342",-0.680765977835104
"343",-0.719295279586496
"344",-0.754985677711111
"345",-0.700084097122369
"346",-0.725820156595201
"347",-0.75941136032595
"348",-0.813509819474409
"349",-0.79957130342472
"350",-0.819908684380526
"351",-0.802779739646856
"352",-0.831994795962338
"353",-0.7529906328144
"354",-0.756876489687184
"355",-0.758581715214505
"356",-0.744563979216721
"357",-0.731904948258791
"358",-0.721618117229604
"359",-0.734730254289832
"360",-0.684323635647747
"361",-0.690612991594636
"362",-0.714987889654095
"363",-0.711826666857129
"364",-0.716159279215259
"365",-0.729055492869747
"366",-0.711676473523377
"367",-0.722980943573344
"368",-0.772097232128652
"369",-0.791492912367716
"370",-0.805235265006844
"371",-0.880328212094016
"372",-0.828799125978893
"373",-0.806078436260884
"374",-0.851284468667994
"375",-0.827083768541612
"376",-0.852709113525556
"377",-0.858371121511515
"378",-0.90383442446662
"379",-0.930500674806264
"380",-0.909182487170542
"381",-0.927192550079769
"382",-0.939212944301745
"383",-0.894313056696045
"384",-0.861539595850007
"385",-0.869478285472285
"386",-0.86312079515281
"387",-0.921241253942964
"388",-0.938794578660959
"389",-0.900030969880026
"390",-0.921116661795982
"391",-0.931100655393646
"392",-0.922287093056439
"393",-0.925808438050899
"394",-1.00180305123679
"395",-1.04056006588329
"396",-1.06396956417059
"397",-1.0627576873063
"398",-1.11584193333375
"399",-1.14113971950351
"400",-1.19179185460298
"401",-1.1906026635352
"402",-1.23280576604051
"403",-1.24624589650788
"404",-1.18670712526686
"405",-1.20202504217665
"406",-1.19632454145371
"407",-1.19600118452543
"408",-1.16347582628735
"409",-1.08984818525273
"410",-1.14757576946943
"411",-1.16111243944471
"412",-1.10582946999922
"413",-1.10575666322101
"414",-1.09400860271846
"415",-1.07454694041788
"416",-1.10740368730415
"417",-1.17991157717109
"418",-1.17702594676319
"419",-1.1918886379692
"420",-1.18789032145612
"421",-1.16488618638372
"422",-1.11464861049265
"423",-1.15606209507786
"424",-1.15462848058547
"425",-1.13935007789113
"426",-1.13663180224176
"427",-1.16442744744353
"428",-1.17552979979636
"429",-1.15418479375051
"430",-1.1387320524114
"431",-1.17978263331295
"432",-1.16084039809642
"433",-1.17759821157585
