"","x"
"1",0
"2",-0.00899209096361479
"3",-0.0234893842233196
"4",0.00138536262075381
"5",0.0242870854926342
"6",0.00207981909430231
"7",-0.00533715741812011
"8",0.0156203944605262
"9",0.0570131093303263
"10",0.0766173332046911
"11",0.059078569442399
"12",0.076001154307419
"13",0.0848070514646307
"14",0.07640046523256
"15",0.111144612845263
"16",0.109842499351334
"17",0.0923205504416586
"18",0.0897328018112583
"19",0.0970734624666324
"20",0.0905063566881769
"21",0.0797362854054309
"22",0.085293594754797
"23",0.0795101028034597
"24",0.103900713055315
"25",0.126778999861855
"26",0.142008567885277
"27",0.144968103529477
"28",0.139262950945154
"29",0.154450707691643
"30",0.139672566538938
"31",0.137193702944239
"32",0.119179848508734
"33",0.123449535574853
"34",0.139415267830117
"35",0.150702008353391
"36",0.159724224513146
"37",0.151114630899121
"38",0.148757580663493
"39",0.157904778134013
"40",0.162633730340632
"41",0.176310446662698
"42",0.160759552103927
"43",0.156631956704779
"44",0.168791606702839
"45",0.184430442740247
"46",0.18780172087645
"47",0.193065946509604
"48",0.186134237146609
"49",0.192985788701086
"50",0.195978291789921
"51",0.183934025560588
"52",0.193164592255059
"53",0.199588972999179
"54",0.200683284890606
"55",0.204967339454426
"56",0.222237436625731
"57",0.215509499178028
"58",0.214717323155288
"59",0.226335966957234
"60",0.213809228686798
"61",0.218866387880229
"62",0.233675712857152
"63",0.253065617336627
"64",0.274035835700372
"65",0.253388254669186
"66",0.257456606116053
"67",0.259933513266748
"68",0.271865906890955
"69",0.287342765501902
"70",0.294284697509543
"71",0.30406042782349
"72",0.304670947062879
"73",0.288633215029998
"74",0.266383067827787
"75",0.293410492869038
"76",0.282502317652283
"77",0.267499840902687
"78",0.2651771899803
"79",0.24866829345915
"80",0.257322170427457
"81",0.283090964698477
"82",0.287063827590251
"83",0.293918386632952
"84",0.284122530461893
"85",0.292781202174327
"86",0.26464994156918
"87",0.26492586226294
"88",0.270796822314125
"89",0.282973630416632
"90",0.261691876851066
"91",0.267956857938036
"92",0.283013954664948
"93",0.314094371754802
"94",0.284815304430058
"95",0.276063795815747
"96",0.260894225153148
"97",0.268086822320417
"98",0.282136327213185
"99",0.275676128696204
"100",0.238868811245737
"101",0.218923418923979
"102",0.248396158945222
"103",0.241607301530675
"104",0.250252279720688
"105",0.231953715317438
"106",0.226727414528787
"107",0.230665282880715
"108",0.238397621586815
"109",0.278779961719677
"110",0.293569966283502
"111",0.291922868673344
"112",0.318047710355278
"113",0.290836965810304
"114",0.275620416114017
"115",0.304668253625786
"116",0.319271604643739
"117",0.334909740570347
"118",0.350604334287836
"119",0.346754624663059
"120",0.366214596388999
"121",0.3592395174286
"122",0.370381196653563
"123",0.368671223943157
"124",0.351740487549156
"125",0.351776709087234
"126",0.339801842764998
"127",0.365018532851261
"128",0.352585778547436
"129",0.353295397712219
"130",0.362235055541682
"131",0.372792792521607
"132",0.365287090420161
"133",0.361012066803634
"134",0.356233184661163
"135",0.358529548170731
"136",0.372979572239097
"137",0.392596089549104
"138",0.365880569158934
"139",0.38384215134453
"140",0.381440250707098
"141",0.389820904140167
"142",0.364985124935292
"143",0.378298750435075
"144",0.388481102978353
"145",0.405650880123504
"146",0.427996383777309
"147",0.462491566768116
"148",0.437077927538139
"149",0.430472965487036
"150",0.423277391548924
"151",0.436299898973759
"152",0.423943037820249
"153",0.41667115748106
"154",0.419869833912274
"155",0.423751912561745
"156",0.417006395995781
"157",0.39607357346078
"158",0.369402313656457
"159",0.380844698818677
"160",0.364256621778484
"161",0.342178485246043
"162",0.345819917833322
"163",0.334533726641838
"164",0.334965911476788
"165",0.331704724333088
"166",0.333540376494136
"167",0.342572522679215
"168",0.371276371182971
"169",0.39385889990876
"170",0.382141728296508
"171",0.374622305014568
"172",0.36075035542428
"173",0.354812853244826
"174",0.348324873671295
"175",0.329575807173233
"176",0.327939714933827
"177",0.342660599116875
"178",0.337606559476052
"179",0.350594250040552
"180",0.344067274411542
"181",0.323681172722747
"182",0.321356012270029
"183",0.334957390685281
"184",0.32413509101145
"185",0.322925810756168
"186",0.329437595434079
"187",0.362969912995244
"188",0.379925516128482
"189",0.366570590844513
"190",0.354774725066784
"191",0.34782055489929
"192",0.383771159977858
"193",0.382228097738919
"194",0.372117971014816
"195",0.364035679606766
"196",0.352784363879343
"197",0.339726843921359
"198",0.323563059283055
"199",0.327092158442817
"200",0.328006796571761
"201",0.336001523251992
"202",0.307248285494678
"203",0.320281857515729
"204",0.308549857740108
"205",0.308640545127663
"206",0.294389753091319
"207",0.290963282421942
"208",0.316949425649789
"209",0.3310217445161
"210",0.342553701089618
"211",0.355124052210554
"212",0.360177379916172
"213",0.339325237447396
"214",0.318073707004105
"215",0.312747073852704
"216",0.290134782019476
"217",0.301850424503364
"218",0.261285252351977
"219",0.257379839022406
"220",0.257555638812192
"221",0.2289962438711
"222",0.23961280283644
"223",0.230530803953223
"224",0.251581873567136
"225",0.234845365745406
"226",0.203295544139878
"227",0.199693905552112
"228",0.202204498216678
"229",0.175821184733708
"230",0.168228146816346
"231",0.164229008106236
"232",0.17984125615733
"233",0.171766944030825
"234",0.162699742953093
"235",0.155995980902334
"236",0.173927614649723
"237",0.18985894003711
"238",0.172808146825999
"239",0.185951113462946
"240",0.191994981495793
"241",0.199425282896577
"242",0.204386303328277
"243",0.188639128349681
"244",0.193387275912958
"245",0.169659850003009
"246",0.156606804224657
"247",0.128306767113577
"248",0.131786981002687
"249",0.125022517913192
"250",0.110174584748757
"251",0.0755630081634866
"252",0.101846948695272
"253",0.0851764697486272
"254",0.0947771071502688
"255",0.0903210280340834
"256",0.0875073617490678
"257",0.101369738287371
"258",0.105938781011817
"259",0.0954654204346477
"260",0.079359157982652
"261",0.0764326818419927
"262",0.083824661065724
"263",0.109106940279605
