"","x"
"1",0
"2",-0.00786639687977294
"3",-0.00282477164494419
"4",0.00559579080781004
"5",-0.00642213707538085
"6",0.000586064811245254
"7",0.015006769413997
"8",0.00218873591446286
"9",0.0314282907527169
"10",0.0413456563098908
"11",0.0556425328698592
"12",0.0827359769574705
"13",0.108617844157035
"14",0.163910347690526
"15",0.11042221740114
"16",0.151429051696021
"17",0.125088258513627
"18",0.118971916533778
"19",0.140996528437956
"20",0.176581527408828
"21",0.196302642619095
"22",0.182039066548177
"23",0.195670723230102
"24",0.209826700025331
"25",0.203236215653353
"26",0.177209187752628
"27",0.152498222433169
"28",0.149848411925261
"29",0.158575598906925
"30",0.112355741130827
"31",0.105980546773745
"32",0.123957968649728
"33",0.12265606508448
"34",0.10308229173778
"35",0.108278388664558
"36",0.0816107781047964
"37",0.0313179666763118
"38",0.0304458710650341
"39",0.0318394520000908
"40",0.0214071718958545
"41",0.00195896093884693
"42",-0.0258292027084862
"43",-0.0438257875074106
"44",-0.0658898200215862
"45",-0.0913387813028336
"46",-0.104010058120246
"47",-0.122357516699205
"48",-0.11524969537675
"49",-0.19385191012202
"50",-0.190505519042816
"51",-0.210309575023686
"52",-0.157896133366674
"53",-0.0979724010133001
"54",-0.0725899839784615
"55",-0.0755949337774661
"56",-0.0523473635387192
"57",-0.111153912013228
"58",-0.118500037265834
"59",-0.106027400069671
"60",-0.127703291449207
"61",-0.153189925999828
"62",-0.140962544877312
"63",-0.0802864107682698
"64",-0.0642667322712524
"65",-0.0640955682469929
"66",-0.0367039899416426
"67",-0.0746154438624752
"68",-0.0694283542452978
"69",-0.104680764563882
"70",-0.0519893547746535
"71",-0.0579150442735583
"72",-0.0637957296203143
"73",-0.0840764602811698
"74",-0.0463889818559136
"75",-0.041353700897619
"76",-0.0877697273086692
"77",-0.110743058542675
"78",-0.119343000116051
"79",-0.191823266545991
"80",-0.166621300054364
"81",-0.11685173839781
"82",-0.150557779330847
"83",-0.168291272545827
"84",-0.155978648044494
"85",-0.199402270703089
"86",-0.215268723016866
"87",-0.2294926319935
"88",-0.201263724703622
"89",-0.211167630986625
